label,threshold,mean_grad,high_grad_count,dispersion,low_value_ratio,extreme_std_score,contrast_entropy,band_only_accuracy
0,0.9,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,0.9,1.0,1.0,1.0,0.192,0.645,0.076,0.91
0,0.9,0.0,0.0,0.0,0.634,0.747,0.324,0.913
0,0.9,0.835,0.012,0.0,0.967,0.489,0.401,0.832
0,0.9,0.0,0.0,0.0,1.0,0.715,0.107,0.894
0,0.9,0.0,0.0,0.0,1.0,0.262,0.895,0.838
0,0.9,0.498,0.024,0.014,1.0,0.304,0.343,0.927
0,0.9,0.0,0.0,0.0,1.0,0.174,0.0,0.91
0,0.9,0.74,0.28,0.224,1.0,0.112,0.908,0.944
0,0.9,0.0,0.0,0.0,1.0,0.0,0.138,0.945
0,1,0.0,0.0,0.0,0.0,1.0,0.065,0.78
0,1,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,1,1.0,1.0,1.0,0.192,0.645,0.076,0.91
0,1,0.0,0.0,0.0,0.634,0.747,0.324,0.913
0,1,0.799,0.016,0.0,0.967,0.489,0.401,0.832
0,1,0.0,0.0,0.0,1.0,0.715,0.107,0.894
0,1,0.0,0.0,0.0,1.0,0.262,0.895,0.838
0,1,0.0,0.0,0.0,1.0,0.304,0.343,0.927
0,1,0.0,0.0,0.0,1.0,0.174,0.0,0.91
0,1,0.434,0.18,0.166,1.0,0.112,0.908,0.944
0,1,0.0,0.0,0.0,1.0,0.0,0.138,0.945
0,0,0.027,0.652,0.528,1.0,0.472,0.285,0.78
0,0,0.621,0.095,0.014,1.0,0.876,0.202,0.893
0,0,0.142,1.0,1.0,1.0,0.635,0.808,0.91
0,0,0.126,0.0,0.0,1.0,0.312,0.0,0.913
0,0,0.192,0.318,0.33,0.0,0.019,0.266,0.832
0,0,0.12,0.401,0.404,0.318,1.0,0.284,0.894
0,0,0.943,0.398,0.194,1.0,0.503,0.621,0.838
0,0,1.0,0.722,0.861,0.995,0.508,1.0,0.927
0,0,0.0,0.333,0.294,1.0,0.371,0.141,0.91
0,0,0.446,0.75,0.899,1.0,0.22,0.842,0.944
0,0,0.118,0.684,0.479,1.0,0.0,0.394,0.945
0,0.1,0.686,0.0,0.0,1.0,0.472,0.285,0.78
0,0.1,0.804,0.245,0.152,1.0,0.876,0.202,0.893
0,0.1,0.0,0.547,0.475,1.0,0.635,0.808,0.91
0,0.1,0.075,0.107,0.096,1.0,0.312,0.0,0.913
0,0.1,0.178,0.324,0.288,0.0,0.019,0.266,0.832
0,0.1,0.275,0.117,0.15,0.318,1.0,0.284,0.894
0,0.1,0.917,0.714,0.417,1.0,0.503,0.621,0.838
0,0.1,1.0,1.0,1.0,0.995,0.508,1.0,0.927
0,0.1,0.033,0.15,0.138,1.0,0.371,0.141,0.91
0,0.1,0.233,0.933,0.944,1.0,0.22,0.842,0.944
0,0.1,0.458,0.3,0.181,1.0,0.0,0.394,0.945
0,0.2,1.0,0.0,0.0,1.0,0.472,0.285,0.78
0,0.2,0.678,0.28,0.195,1.0,0.876,0.202,0.893
0,0.2,0.0,0.249,0.21,1.0,0.635,0.808,0.91
0,0.2,0.111,0.232,0.18,1.0,0.312,0.0,0.913
0,0.2,0.247,0.316,0.256,0.0,0.019,0.266,0.832
0,0.2,0.285,0.071,0.073,0.318,1.0,0.284,0.894
0,0.2,0.813,0.564,0.377,1.0,0.503,0.621,0.838
0,0.2,0.611,1.0,1.0,0.995,0.508,1.0,0.927
0,0.2,0.179,0.116,0.1,1.0,0.371,0.141,0.91
0,0.2,0.176,0.687,0.687,1.0,0.22,0.842,0.944
0,0.2,0.669,0.189,0.12,1.0,0.0,0.394,0.945
0,0.3,1.0,0.0,0.0,1.0,0.472,0.285,0.78
0,0.3,0.734,0.231,0.163,1.0,0.876,0.202,0.893
0,0.3,0.0,0.123,0.09,1.0,0.635,0.808,0.91
0,0.3,0.246,0.246,0.177,1.0,0.312,0.0,0.913
0,0.3,0.352,0.298,0.229,0.0,0.019,0.266,0.832
0,0.3,0.411,0.035,0.035,0.318,1.0,0.284,0.894
0,0.3,0.968,0.305,0.221,1.0,0.503,0.621,0.838
0,0.3,0.497,1.0,1.0,0.995,0.508,1.0,0.927
0,0.3,0.247,0.082,0.066,1.0,0.371,0.141,0.91
0,0.3,0.22,0.484,0.464,1.0,0.22,0.842,0.944
0,0.3,0.674,0.145,0.099,1.0,0.0,0.394,0.945
